rooms,area_m2,floor_current,floor_total,price,city,district,building_type
2,78,6,18,900,Bakı,Nizami m.,Teze tikili
2,80,9,20,900,Bakı,Nizami m.,Teze tikili
2,75,2,5,900,Bakı,28 May m.,Kohne tikili
4,134,6,8,500,Bakı,Hövsan q.,Kohne tikili
2,105,5,16,800,Bakı,Nəriman Nərimanov m.,Teze tikili
2,75,6,18,899,Bakı,Nizami m.,Teze tikili
2,104,4,16,800,Bakı,Nərimanov r.,Teze tikili
3,115,4,16,850,Bakı,Həzi Aslanov m.,Teze tikili
2,75,8,9,750,Bakı,Nizami m.,Kohne tikili
2,100,10,12,850,Bakı,Nəriman Nərimanov m.,Teze tikili
3,94,2,9,600,Bakı,Səbail r.,Kohne tikili
2,68,9,9,600,Bakı,Nəsimi m.,Kohne tikili
3,80,6,18,700,Bakı,Həzi Aslanov m.,Teze tikili
2,74,6,14,370,Bakı,Saray q.,Teze tikili
3,100,3,10,600,Bakı,Xətai r.,Kohne tikili
2,60,5,5,550,Bakı,Koroğlu m.,Kohne tikili
3,75,3,9,600,Bakı,Memar Əcəmi m.,Kohne tikili
3,115,4,16,850,Bakı,Həzi Aslanov m.,Teze tikili
2,55,2,5,600,Bakı,Neftçilər m.,Kohne tikili
3,115,4,16,850,Bakı,Həzi Aslanov m.,Teze tikili
2,60,2,17,700,Bakı,9-cu mikrorayon q.,Teze tikili
2,70,5,14,450,Bakı,Saray q.,Teze tikili
3,75,5,5,750,Bakı,İçəri Şəhər m.,Kohne tikili
2,40,1,4,600,Bakı,Sahil m.,Kohne tikili
3,112,7,10,800,Bakı,İnşaatçılar m.,Kohne tikili
2,65,14,18,700,Bakı,Xətai r.,Teze tikili
3,130,14,19,800,Bakı,Nəriman Nərimanov m.,Teze tikili
2,65,10,17,850,Bakı,Nərimanov r.,Teze tikili
3,75,7,9,450,Bakı,Massiv A q.,Kohne tikili
2,75,1,4,600,Bakı,Bayıl q.,Kohne tikili
3,115,4,16,850,Bakı,Əhmədli m.,Teze tikili
3,115,4,16,850,Bakı,Əhmədli m.,Teze tikili
3,150,3,9,850,Bakı,Memar Əcəmi m.,Kohne tikili
2,60,7,10,700,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,70,10,27,950,Bakı,Nəsimi r.,Teze tikili
3,120,4,16,849,Bakı,Əhmədli m.,Teze tikili
2,45,2,9,400,Bakı,Yeni Günəşli q.,Kohne tikili
3,85,18,20,550,Bakı,Bakıxanov q.,Teze tikili
3,115,4,16,850,Bakı,Əhmədli m.,Teze tikili
3,115,4,16,850,Bakı,Əhmədli m.,Teze tikili
3,100,3,10,600,Bakı,Həzi Aslanov m.,Kohne tikili
3,110,6,16,850,Bakı,7-ci mikrorayon q.,Teze tikili
2,72,8,14,800,Bakı,Neftçilər m.,Teze tikili
3,77,4,5,850,Bakı,Şah İsmayıl Xətai m.,Kohne tikili
3,116,5,17,849,Bakı,Həzi Aslanov q.,Teze tikili
2,70,10,16,900,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,55,4,5,450,Bakı,Şah İsmayıl Xətai m.,Kohne tikili
