rooms,area_m2,floor_current,floor_total,location,price
3,70,3,9,"Elan №5754031 - Bakı, Xalqlar Dostluğu m., 3 otaqlı, 70 m², 3/9 mərtəbə",650
2,80,5,10,"Elan №5729109 - Bakı, 7-ci mikrorayon q., 2 otaqlı, 80 m², 5/10 mərtəbə",800
3,80,3,7,"Elan №5688168 - Bakı, Nərimanov r., 3 otaqlı, 80 m², 3/7 mərtəbə",850
2,60,2,20,"Elan №5693892 - Bakı, Həzi Aslanov m., 2 otaqlı, 60 m², 2/20 mərtəbə",550
2,40,2,5,"Elan №5754023 - Bakı, Nəsimi m., 2 otaqlı, 40 m², 2/5 mərtəbə",450
2,24,1,2,"Elan №5754016 - Bakı, Elmlər Akademiyası m., 2 otaqlı, 24 m², 1/2 mərtəbə",340
2,50,5,20,"Elan №5753687 - Bakı, 20 Yanvar m., 2 otaqlı, 50 m², 5/20 mərtəbə",750
2,90,13,16,"Elan №5754015 - Bakı, Şah İsmayıl Xətai m., 2 otaqlı, 90 m², 13/16 mərtəbə",900
2,85,14,16,"Elan №5741848 - Bakı, Nəsimi r., 2 otaqlı, 85 m², 14/16 mərtəbə",900
1,75,4,4,"Elan №4959473 - Bakı, Sea Breeze q., 1 otaqlı, 75 m², 4/4 mərtəbə",900
3,125,14,15,"Elan №5754008 - Bakı, 8 Noyabr m., 3 otaqlı, 125 m², 14/15 mərtəbə",185
2,80,4,12,"Elan №5751600 - Sumqayıt, Sumqayıt, 2 otaqlı, 80 m², 4/12 mərtəbə",490
2,50,7,17,"Elan №5749367 - Bakı, İnşaatçılar m., 2 otaqlı, 50 m², 7/17 mərtəbə",650
1,38,1,10,"Elan №5753997 - Bakı, Yeni Yasamal q., 1 otaqlı, 38 m², 1/10 mərtəbə",500
2,65,7,18,"Elan №5693965 - Bakı, Memar Əcəmi m., 2 otaqlı, 65 m², 7/18 mərtəbə",800
3,75,3,9,"Elan №5753988 - Bakı, Xalqlar Dostluğu m., 3 otaqlı, 75 m², 3/9 mərtəbə",649
1,30,3,5,"Elan №5753983 - Bakı, İnşaatçılar m., 1 otaqlı, 30 m², 3/5 mərtəbə",450
2,70,7,16,"Elan №5753980 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 70 m², 7/16 mərtəbə",750
3,110,9,17,"Elan №5753971 - Bakı, Həzi Aslanov m., 3 otaqlı, 110 m², 9/17 mərtəbə",850
2,55,2,5,"Elan №5753970 - Bakı, İnşaatçılar m., 2 otaqlı, 55 m², 2/5 mərtəbə",450
3,70,3,9,"Elan №5753964 - Bakı, Xalqlar Dostluğu m., 3 otaqlı, 70 m², 3/9 mərtəbə",650
2,65,2,20,"Elan №4618405 - Bakı, Xətai r., 2 otaqlı, 65 m², 2/20 mərtəbə",699
2,40,5,5,"Elan №5753959 - Bakı, Memar Əcəmi m., 2 otaqlı, 40 m², 5/5 mərtəbə",500
2,52,18,20,"Elan №5753954 - Bakı, Nərimanov r., 2 otaqlı, 52 m², 18/20 mərtəbə",800
2,45,4,5,"Elan №5753953 - Bakı, İnşaatçılar m., 2 otaqlı, 45 m², 4/5 mərtəbə",599
2,75,8,12,"Elan №5632920 - Bakı, 20-ci sahə q., 2 otaqlı, 75 m², 8/12 mərtəbə",600
2,55,3,16,"Elan №5753945 - Bakı, Nərimanov r., 2 otaqlı, 55 m², 3/16 mərtəbə",800
2,105,6,16,"Elan №5732948 - Bakı, Yeni Yasamal q., 2 otaqlı, 105 m², 6/16 mərtəbə",670
2,65,6,17,"Elan №5751877 - Bakı, Qara Qarayev m., 2 otaqlı, 65 m², 6/17 mərtəbə",525
2,45,2,5,"Elan №5753935 - Bakı, İnşaatçılar m., 2 otaqlı, 45 m², 2/5 mərtəbə",500
3,80,4,9,"Elan №5753932 - Bakı, Massiv D q., 3 otaqlı, 80 m², 4/9 mərtəbə",500
3,120,6,16,"Elan №5670681 - Bakı, Nəriman Nərimanov m., 3 otaqlı, 120 m², 6/16 mərtəbə",210
2,65,14,18,"Elan №5752420 - Bakı, Həzi Aslanov m., 2 otaqlı, 65 m², 14/18 mərtəbə",700
2,80,6,15,"Elan №5287584 - Bakı, Nizami m., 2 otaqlı, 80 m², 6/15 mərtəbə",750
2,70,1,5,"Elan №5710802 - Bakı, Xalqlar Dostluğu m., 2 otaqlı, 70 m², 1/5 mərtəbə",550
2,50,4,15,"Elan №5753913 - Xırdalan, Xırdalan, 2 otaqlı, 50 m², 4/15 mərtəbə",400
2,60,6,18,"Elan №5753911 - Bakı, Həzi Aslanov m., 2 otaqlı, 60 m², 6/18 mərtəbə",700
2,70,9,27,"Elan №5663361 - Bakı, 8 Noyabr m., 2 otaqlı, 70 m², 9/27 mərtəbə",900
1,35,2,5,"Elan №5753900 - Bakı, İnşaatçılar m., 1 otaqlı, 35 m², 2/5 mərtəbə",480
1,35,2,5,"Elan №5753897 - Bakı, İnşaatçılar m., 1 otaqlı, 35 m², 2/5 mərtəbə",480
2,54,5,5,"Elan №5753876 - Bakı, Nərimanov r., 2 otaqlı, 54 m², 5/5 mərtəbə",750
3,120,2,9,"Elan №5753873 - Bakı, Masazır q., 3 otaqlı, 120 m², 2/9 mərtəbə",100
3,120,3,18,"Elan №5753853 - Bakı, Nizami m., 3 otaqlı, 120 m², 3/18 mərtəbə",980
1,31,2,5,"Elan №5753848 - Bakı, İnşaatçılar m., 1 otaqlı, 31 m², 2/5 mərtəbə",480
1,45,3,5,"Elan №5753847 - Bakı, Memar Əcəmi m., 1 otaqlı, 45 m², 3/5 mərtəbə",500
3,130,6,14,"Elan №5751397 - Bakı, Nərimanov r., 3 otaqlı, 130 m², 6/14 mərtəbə",950
2,60,4,5,"Elan №5736235 - Bakı, İçəri Şəhər m., 2 otaqlı, 60 m², 4/5 mərtəbə",850
2,75,6,18,"Elan №5753842 - Bakı, Nizami m., 2 otaqlı, 75 m², 6/18 mərtəbə",900
3,117,16,17,"Elan №5753839 - Bakı, Həzi Aslanov m., 3 otaqlı, 117 m², 16/17 mərtəbə",850
2,51,10,19,"Elan №5753837 - Bakı, Əhmədli q., 2 otaqlı, 51 m², 10/19 mərtəbə",500
2,75,10,12,"Elan №5450642 - Bakı, Yeni Yasamal q., 2 otaqlı, 75 m², 10/12 mərtəbə",600
3,85,3,5,"Elan №5753827 - Bakı, Nərimanov r., 3 otaqlı, 85 m², 3/5 mərtəbə",140
3,102,3,3,"Elan №5743025 - Bakı, Nəsimi r., 3 otaqlı, 102 m², 3/3 mərtəbə",850
2,35,3,5,"Elan №5753813 - Bakı, Xalqlar Dostluğu m., 2 otaqlı, 35 m², 3/5 mərtəbə",450
1,32,3,5,"Elan №5751865 - Bakı, Neftçilər m., 1 otaqlı, 32 m², 3/5 mərtəbə",400
2,55,4,16,"Elan №5753808 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 55 m², 4/16 mərtəbə",800
2,50,11,17,"Elan №5707116 - Bakı, 20 Yanvar m., 2 otaqlı, 50 m², 11/17 mərtəbə",750
3,90,3,6,"Elan №5745692 - Bakı, Bayıl q., 3 otaqlı, 90 m², 3/6 mərtəbə",900
2,40,6,16,"Elan №5738568 - Bakı, Yeni Yasamal q., 2 otaqlı, 40 m², 6/16 mərtəbə",750
2,78,8,16,"Elan №5678744 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 78 m², 8/16 mərtəbə",850
2,80,3,5,"Elan №5715947 - Bakı, Gənclik m., 2 otaqlı, 80 m², 3/5 mərtəbə",700
2,77,7,16,"Elan №5739219 - Bakı, 20 Yanvar m., 2 otaqlı, 77 m², 7/16 mərtəbə",700
